Date,Close,Open,High,Low,Change%
2012-10-11,5.574,5.574,5.574,5.574,-1.14%
2012-10-10,5.638,5.638,5.638,5.638,0.09%
2012-10-09,5.633,5.633,5.633,5.633,-0.78%
2012-10-08,5.677,5.677,5.677,5.677,0.83%
2012-10-05,5.63,5.63,5.63,5.63,-1.57%
2012-10-04,5.72,5.72,5.72,5.72,0.00%
2012-10-03,5.72,5.72,5.72,5.72,-0.26%
2012-10-02,5.735,5.735,5.735,5.735,0.00%
2012-10-01,5.735,5.735,5.735,5.735,-0.24%
2012-09-28,5.749,5.749,5.749,5.749,0.51%
2012-09-27,5.72,5.72,5.72,5.72,-0.35%
2012-09-26,5.74,5.74,5.74,5.74,-0.69%
2012-09-25,5.78,5.78,5.78,5.78,-0.62%
2012-09-24,5.816,5.816,5.816,5.816,-1.00%
2012-09-23,5.875,5.875,5.875,5.875,0.00%
2012-09-22,5.875,5.875,5.875,5.875,0.00%
2012-09-21,5.875,5.875,5.875,5.875,-0.63%
2012-09-20,5.912,5.912,5.912,5.912,0.54%
2012-09-19,5.88,5.88,5.88,5.88,-1.04%
2012-09-18,5.942,5.942,5.942,5.942,0.25%
2012-09-17,5.927,5.927,5.927,5.927,0.05%
2012-09-14,5.924,5.924,5.924,5.924,0.68%
2012-09-13,5.884,5.884,5.884,5.884,-0.49%
2012-09-12,5.913,5.913,5.913,5.913,0.66%
2012-09-11,5.874,5.874,5.874,5.874,0.44%
2012-09-10,5.848,5.848,5.848,5.848,-0.43%
2012-09-07,5.873,5.873,5.873,5.873,-1.06%
2012-09-06,5.936,5.936,5.936,5.936,-0.22%
2012-09-05,5.949,5.949,5.949,5.949,-0.30%
2012-09-04,5.967,5.967,5.967,5.967,0.95%
2012-09-03,5.911,5.911,5.911,5.911,-1.38%
2012-08-31,5.994,5.994,5.994,5.994,-0.05%
2012-08-30,5.997,5.997,5.997,5.997,0.20%
2012-08-29,5.985,5.985,5.985,5.985,0.42%
2012-08-28,5.96,5.96,5.96,5.96,0.68%
2012-08-27,5.92,5.92,5.92,5.92,-0.67%
2012-08-24,5.96,5.96,5.96,5.96,-0.33%
2012-08-23,5.98,5.98,5.98,5.98,0.84%
2012-08-22,5.93,5.93,5.93,5.93,0.44%
2012-08-21,5.904,5.904,5.904,5.904,-0.12%
2012-08-17,5.911,5.911,5.911,5.911,0.73%
2012-08-16,5.868,5.868,5.868,5.868,-2.05%
2012-08-15,5.991,5.991,5.991,5.991,0.60%
2012-08-14,5.955,5.955,5.955,5.955,-0.83%
2012-08-13,6.005,6.005,6.005,6.005,-0.17%
2012-08-10,6.015,6.015,6.015,6.015,-0.41%
2012-08-09,6.04,6.04,6.04,6.04,0.67%
2012-08-08,6.0,6.0,6.0,6.0,-0.50%
2012-08-06,6.03,6.03,6.03,6.03,-0.74%
2012-08-03,6.075,6.075,6.075,6.075,-0.08%
2012-08-02,6.08,6.08,6.08,6.08,-0.75%
2012-08-01,6.126,6.126,6.126,6.126,-0.21%
2012-07-31,6.139,6.139,6.139,6.139,-0.73%
2012-07-30,6.184,6.184,6.184,6.184,-0.82%
2012-07-27,6.235,6.235,6.235,6.235,0.08%
2012-07-26,6.23,6.23,6.23,6.23,-0.46%
2012-07-25,6.259,6.259,6.259,6.259,-0.49%
2012-07-24,6.29,6.29,6.29,6.29,0.50%
2012-07-23,6.259,6.259,6.259,6.259,-1.28%
2012-07-19,6.34,6.34,6.34,6.34,0.32%
2012-07-18,6.32,6.32,6.32,6.32,0.00%
2012-07-17,6.32,6.32,6.32,6.32,1.09%
2012-07-16,6.252,6.252,6.252,6.252,-0.27%
2012-07-13,6.269,6.269,6.269,6.269,-0.54%
2012-07-12,6.303,6.303,6.303,6.303,-1.25%
2012-07-11,6.383,6.383,6.383,6.383,-0.59%
2012-07-10,6.421,6.421,6.421,6.421,-0.76%
2012-07-09,6.47,6.47,6.47,6.47,7.55%
2012-07-06,6.016,6.016,6.016,6.016,-0.81%
2012-07-05,6.065,6.065,6.065,6.065,-0.49%
2012-07-04,6.095,6.095,6.095,6.095,0.25%
2012-07-03,6.08,6.08,6.08,6.08,0.25%
2012-06-29,6.065,6.065,6.065,6.065,-0.49%
2012-06-28,6.095,6.095,6.095,6.095,0.26%
2012-06-27,6.079,6.079,6.079,6.079,-0.10%
2012-06-26,6.085,6.085,6.085,6.085,0.33%
2012-06-25,6.065,6.065,6.065,6.065,-0.98%
2012-06-22,6.125,6.125,6.125,6.125,0.00%
2012-06-21,6.125,6.125,6.125,6.125,-1.18%
2012-06-20,6.198,6.198,6.198,6.198,-0.05%
2012-06-19,6.201,6.201,6.201,6.201,-0.14%
2012-06-15,6.21,6.21,6.21,6.21,-0.62%
2012-06-14,6.249,6.249,6.249,6.249,0.42%
2012-06-13,6.223,6.223,6.223,6.223,-0.53%
2012-06-12,6.256,6.256,6.256,6.256,-0.45%
2012-06-08,6.284,6.284,6.284,6.284,0.13%
2012-06-07,6.276,6.276,6.276,6.276,0.02%
2012-06-06,6.275,6.275,6.275,6.275,0.00%
2012-06-05,6.275,6.275,6.275,6.275,0.00%
2012-06-04,6.275,6.275,6.275,6.275,-1.41%
2012-06-01,6.365,6.365,6.365,6.365,-0.83%
2012-05-31,6.418,6.418,6.418,6.418,-0.11%
2012-05-30,6.425,6.425,6.425,6.425,-0.16%
2012-05-29,6.435,6.435,6.435,6.435,-0.39%
2012-05-28,6.46,6.46,6.46,6.46,-0.15%
2012-05-25,6.47,6.47,6.47,6.47,0.00%
2012-05-24,6.47,6.47,6.47,6.47,-0.02%
2012-05-23,6.471,6.471,6.471,6.471,1.73%
2012-05-22,6.361,6.361,6.361,6.361,-0.34%
2012-05-18,6.383,6.383,6.383,6.383,-0.73%
2012-05-17,6.43,6.43,6.43,6.43,-0.03%
2012-05-16,6.432,6.432,6.432,6.432,-0.12%
2012-05-15,6.44,6.44,6.44,6.44,0.11%
2012-05-14,6.433,6.433,6.433,6.433,1.37%
2012-05-11,6.346,6.346,6.346,6.346,0.08%
2012-05-10,6.341,6.341,6.341,6.341,0.03%
2012-05-09,6.339,6.339,6.339,6.339,0.91%
2012-05-08,6.282,6.282,6.282,6.282,-0.02%
2012-05-07,6.283,6.283,6.283,6.283,-0.02%
2012-05-04,6.284,6.284,6.284,6.284,0.62%
2012-05-03,6.245,6.245,6.245,6.245,-0.48%
2012-05-02,6.275,6.275,6.275,6.275,-0.03%
2012-04-30,6.277,6.277,6.277,6.277,0.30%
2012-04-27,6.258,6.258,6.258,6.258,-0.41%
2012-04-26,6.284,6.284,6.284,6.284,-0.17%
2012-04-25,6.295,6.295,6.295,6.295,0.00%
2012-04-24,6.295,6.295,6.295,6.295,-0.47%
2012-04-23,6.325,6.325,6.325,6.325,1.26%
2012-04-20,6.246,6.246,6.246,6.246,0.37%
