Release Date,Time,Actual,Forecast,Previous
"Apr 01, 1997 (Mar)",04:00,28.50%, ,32.00%
"Mar 01, 1997 (Feb)",04:00,32.00%, ,32.00%
"Feb 01, 1997 (Jan)",04:00,32.00%, ,32.00%
"Jan 01, 1997 (Dec)",04:00,32.00%, ,32.00%
"Dec 01, 1996 (Nov)",04:00,32.00%, ,35.00%
"Nov 01, 1996 (Oct)",04:00,35.00%, ,35.00%
"Oct 01, 1996 (Sep)",04:00,35.00%, ,35.00%
"Sep 01, 1996 (Aug)",04:00,35.00%, ,35.00%
"Aug 01, 1996 (Jul)",04:00,35.00%, ,35.00%
"Jul 01, 1996 (Jun)",04:00,35.00%, ,35.00%
"Jun 01, 1996 (May)",04:00,35.00%, ,35.00%
"May 01, 1996 (Apr)",04:00,35.00%, ,35.00%
"Apr 01, 1996 (Mar)",04:00,35.00%, ,38.00%
"Mar 01, 1996 (Feb)",04:00,38.00%, ,41.00%
"Feb 01, 1996 (Jan)",04:00,41.00%, ,41.00%
"Jan 01, 1996 (Dec)",04:00,41.00%, ,45.00%
"Dec 01, 1995 (Nov)",04:00,45.00%, ,45.00%
"Nov 01, 1995 (Oct)",04:00,45.00%, ,45.00%
"Oct 01, 1995 (Sep)",04:00,45.00%, ,45.00%
"Sep 01, 1995 (Aug)",04:00,45.00%, ,45.00%
"Aug 01, 1995 (Jul)",04:00,45.00%, ,45.00%
"Jul 01, 1995 (Jun)",04:00,45.00%, ,45.00%
"Jun 01, 1995 (May)",04:00,45.00%, ,45.00%
"May 01, 1995 (Apr)",04:00,45.00%, , 
